key,text
navMain,Главная
navAbout,О нас
navContacts,Контакты
navLogin,Войти
navRegister,Регистрация
indexHeaderTextItemCaption1,инвестиции
indexHeaderTextItemCaption2,инвестиции
indexHeaderTextItemCaption3,инвестиции
